TF,target
150,0
150,3
150,8
150,56
150,99
150,117
150,119
150,134
150,135
150,138
150,148
150,149
150,155
150,156
150,157
150,159
150,160
150,169
150,170
150,186
150,189
150,208
150,216
150,237
150,238
150,240
150,273
150,283
150,289
150,415
150,422
150,431
150,472
150,478
150,483
150,484
150,501
150,526
150,536
150,540
150,541
150,589
150,600
150,601
150,613
150,621
150,647
150,661
150,671
150,678
150,679
150,681
150,685
150,691
671,0
671,3
671,8
671,9
671,11
671,13
671,17
671,18
671,19
671,24
671,25
671,27
671,28
671,30
671,32
671,33
671,34
671,40
671,42
671,44
671,45
671,47
671,48
671,49
671,50
671,52
671,53
671,55
671,56
671,69
671,70
671,81
671,83
671,84
671,86
671,87
671,88
671,90
671,92
671,93
671,95
671,96
671,97
671,98
671,99
671,102
671,103
671,106
671,107
671,108
671,109
671,110
671,111
671,115
671,117
671,119
671,121
671,123
671,124
671,133
671,134
671,135
671,136
671,137
671,138
671,142
671,143
671,146
671,148
671,149
671,150
671,151
671,152
671,155
671,156
671,157
671,158
671,159
671,160
671,163
671,165
671,167
671,169
671,170
671,171
671,172
671,184
671,185
671,186
671,189
671,191
671,192
671,194
671,195
671,198
671,201
671,208
671,209
671,211
671,212
671,213
671,214
671,216
671,217
671,218
671,222
671,223
671,229
671,230
671,231
671,237
671,238
671,239
671,240
671,241
671,242
671,243
671,244
671,245
671,246
671,247
671,248
671,258
671,259
671,261
671,262
671,263
671,264
671,268
671,270
671,271
671,272
671,273
671,280
671,282
671,283
671,284
671,285
671,287
671,288
671,289
671,290
671,291
671,292
671,293
671,294
671,296
671,298
671,299
671,405
671,410
671,412
671,413
671,414
671,415
671,416
671,418
671,420
671,421
671,422
671,423
671,424
671,425
671,431
671,432
671,433
671,435
671,439
671,446
671,450
671,454
671,455
671,457
671,458
671,459
671,460
671,461
671,462
671,463
671,472
671,477
671,478
671,480
671,481
671,482
671,483
671,484
671,485
671,486
671,488
671,490
671,491
671,492
671,493
671,494
671,495
671,501
671,502
671,503
671,504
671,505
671,507
671,508
671,510
671,512
671,513
671,515
671,517
671,519
671,521
671,523
671,524
671,525
671,526
671,527
671,531
671,532
671,533
671,535
671,536
671,539
671,540
671,541
671,550
671,564
671,566
671,570
671,571
671,573
671,576
671,581
671,583
671,584
671,586
671,589
671,590
671,591
671,593
671,594
671,595
671,599
671,600
671,601
671,607
671,608
671,609
671,611
671,613
671,614
671,616
671,617
671,620
671,621
671,625
671,626
671,627
671,630
671,632
671,634
671,636
671,637
671,638
671,639
671,642
671,645
671,646
671,647
671,648
671,649
671,653
671,654
671,655
671,656
671,657
671,658
671,661
671,663
671,664
671,665
671,666
671,672
671,673
671,675
671,676
671,678
671,679
671,680
671,681
671,682
671,683
671,685
671,687
671,688
671,690
671,691
671,693
671,694
671,695
28,0
28,3
28,8
28,9
28,11
28,12
28,13
28,17
28,18
28,19
28,22
28,23
28,24
28,25
28,27
28,29
28,30
28,32
28,33
28,34
28,37
28,39
28,40
28,42
28,44
28,45
28,47
28,48
28,49
28,50
28,51
28,52
28,53
28,54
28,55
28,56
28,65
28,69
28,70
28,71
28,73
28,75
28,78
28,81
28,83
28,84
28,86
28,87
28,88
28,89
28,90
28,92
28,93
28,94
28,95
28,96
28,97
28,98
28,99
28,100
28,102
28,103
28,104
28,106
28,107
28,108
28,109
28,110
28,111
28,115
28,117
28,119
28,121
28,123
28,124
28,127
28,128
28,131
28,133
28,134
28,135
28,136
28,137
28,138
28,142
28,143
28,144
28,145
28,146
28,147
28,148
28,149
28,150
28,151
28,152
28,155
28,156
28,157
28,158
28,159
28,160
28,161
28,163
28,165
28,167
28,169
28,170
28,171
28,172
28,173
28,177
28,178
28,181
28,183
28,184
28,185
28,186
28,189
28,191
28,192
28,193
28,194
28,195
28,197
28,198
28,199
28,201
28,205
28,208
28,209
28,211
28,212
28,213
28,214
28,215
28,216
28,217
28,218
28,222
28,223
28,229
28,230
28,231
28,233
28,234
28,237
28,238
28,239
28,240
28,241
28,242
28,243
28,244
28,245
28,246
28,247
28,248
28,249
28,250
28,251
28,254
28,256
28,258
28,259
28,260
28,261
28,262
28,263
28,264
28,267
28,268
28,270
28,271
28,272
28,273
28,278
28,280
28,281
28,282
28,283
28,284
28,285
28,287
28,288
28,289
28,290
28,291
28,292
28,293
28,294
28,296
28,298
28,299
28,300
28,301
28,386
28,400
28,401
28,402
28,405
28,406
28,407
28,408
28,410
28,412
28,413
28,414
28,415
28,416
28,418
28,419
28,420
28,421
28,422
28,423
28,424
28,425
28,431
28,432
28,433
28,434
28,435
28,436
28,438
28,439
28,440
28,443
28,444
28,445
28,446
28,448
28,449
28,450
28,451
28,452
28,454
28,455
28,456
28,457
28,458
28,459
28,460
28,461
28,462
28,463
28,464
28,465
28,467
28,468
28,470
28,472
28,477
28,478
28,479
28,480
28,481
28,482
28,483
28,484
28,485
28,486
28,487
