gene,id
ABCB9,0
AC002331.1,1
AC006129.4,2
AC007950.2,3
AC012368.2,4
AC079767.4,5
AC092580.4,6
AC104024.1,7
ACTB,8
ACTG1,9
ADCYAP1,10
ADM,11
AEBP2,12
AFF4,13
AICDA,14
AIF1,15
AL928768.3,16
ANKRD28,17
ANXA1,18
AP000692.10,19
AP005530.2,20
AR,21
AREG,22
ARL6IP1,23
ARNTL,24
ASCL2,25
ASPM,26
ATF1,27
ATF3,28
ATF5,29
ATG5,30
ATOH1,31
AURKB,32
B4GALT1,33
BACH1,34
BARHL1,35
BARX2,36
BASP1,37
BATF,38
BATF3,39
BCL11A,40
BCL2A1,41
BCL6,42
BEX5,43
BHLHE40,44
BIRC5,45
BMI1,46
C10orf10,47
C12orf75,48
C15orf48,49
C5AR1,50
CADM1,51
CAMK1,52
CAMTA2,53
CASP8AP2,54
CASZ1,55
CBX3,56
CCDC144A,57
CCL17,58
CCL22,59
CCL3,60
CCL4,61
CCL5,62
CCNB1,63
CCNB2,64
CCND2,65
CCR1,66
CCR7,67
CD2,68
CD22,69
CD247,70
CD37,71
CD3D,72
CD3E,73
CD3G,74
CD52,75
CD69,76
CD7,77
CD74,78
CD79B,79
CD83,80
CD8A,81
CD8B,82
CDC20,83
CDCA8,84
CDK1,85
CDK8,86
CDK9,87
CDKN1A,88
CDKN3,89
CDT1,90
CDX2,91
CEBPB,92
CENPA,93
CENPE,94
CENPF,95
CFD,96
CFL1,97
CITED2,98
CKS1B,99
CKS2,100
CLEC7A,101
CLOCK,102
CLU,103
CORO1A,104
CPA3,105
CPT1C,106
CREB1,107
CREB3,108
CREM,109
CRIP1,110
CST3,111
CST7,112
CSTA,113
CTBP1-AS,114
CTCF,115
CTCFL,116
CTD-2313J17.6,117
CTD-3014M21.4,118
CTD-3252C9.4,119
CTLA4,120
CTNNB1,121
CTSG,122
CTSW,123
CUX1,124
CXCL10,125
CXCL13,126
CXCL8,127
CXCR4,128
CXCR6,129
CXorf21,130
CYB5D2,131
CYTOR,132
DAAM1,133
DBP,134
DDIT4,135
DEK,136
DERL3,137
DLGAP5,138
DLX2,139
DLX4,140
DMRT1,141
DNAAF1,142
DNAJB1,143
DOPEY2,144
DUSP2,145
DUSP4,146
DUT,147
E2F1,148
E2F2,149
E2F3,150
E2F4,151
E2F7,152
E2F8,153
EBI3,154
EGR1,155
EHF,156
ELF1,157
ELF2,158
ELF3,159
ELL2,160
EMX1,161
ENPP2,162
EP300,163
EREG,164
ERF,165
ERG,166
ERN1,167
ESR1,168
ESRRA,169
ETS2,170
ETV4,171
ETV5,172
ETV7,173
FABP1,174
FABP5,175
FAM110C,176
FAM92B,177
FCER1G,178
FCGR3B,179
FCRL4,180
FEZ1,181
FGFBP2,182
FILIP1L,183
FOS,184
FOSB,185
FOSL1,186
FOXA1,187
FOXA2,188
FOXD2,189
FOXG1,190
FOXM1,191
FOXO3,192
FOXO4,193
FOXP1,194
FTL,195
FYB1,196
G0S2,197
GADD45A,198
GADD45G,199
GALNTL6,200
GAPDH,201
GATA1,202
GATA2,203
GATA3,204
GATA4,205
GATA6,206
GIMAP7,207
GLI1,208
GLI2,209
GLIS1,210
GLIS2,211
GLIS3,212
GLUL,213
GMDS,214
GMEB1,215
GMEB2,216
GNA15,217
GNLY,218
GPR109B,219
GPR171,220
GPR183,221
GRHL1,222
GRHL2,223
GUCA2B,224
GZMA,225
GZMB,226
GZMH,227
GZMK,228
H1FX,229
H2AFV,230
H2AFZ,231
HAVCR2,232
HBA1,233
HBA2,234
HBB,235
HBD,236
HBP1,237
HES1,238
HES4,239
HINFP,240
HIST1H1A,241
HIST1H1B,242
HIST1H1C,243
HIST1H1D,244
HIST1H3B,245
HIST1H4C,246
HIST1H4E,247
HIVEP1,248
HLA-DMB,249
HLA-DPA1,250
HLA-DPB1,251
HLA-DQA1,252
HLA-DQA2,253
HLA-DQB1,254
HLA-DRA,255
HLA-DRB1,256
HLA-DRB5,257
HMGA1,258
HMGB1,259
HMGB2,260
HMGN1,261
HMGN2,262
HMMR,263
HN1,264
HNF1B,265
HNF4A,266
HOPX,267
HOXA1,268
HOXA13,269
HOXA4,270
HOXA5,271
HOXA6,272
HOXA7,273
HOXB13,274
HOXB4,275
HOXC6,276
HOXC8,277
HPGD,278
HPGDS,279
HRASLS2,280
HSF1,281
HSP90B1,282
HSPA1A,283
HSPA1B,284
HSPA5,285
HSPA6,286
HSPB1,287
ICE1,288
ICE2,289
ID1,290
ID2,291
ID3,292
IER2,293
IER5,294
IFI27,295
IFI30,296
IFI44L,297
IFI6,298
IFIT1,299
IFIT2,300
IFIT3,301
IFNG,302
IGHA1,303
IGHA2,304
IGHD,305
IGHE,306
IGHG1,307
IGHG2,308
IGHG3,309
IGHG4,310
IGHGP,311
IGHM,312
IGHV1-18,313
IGHV1-2,314
